Date,Close,High,Low,Open,Volume
2021-01-04,66.93350219726562,67.1486227013801,66.7414294812214,67.1486227013801,34528300
2021-01-05,66.95654296875,67.03337087479784,66.82593494230935,66.85666141545367,33725500
2021-01-06,66.8335952758789,67.10249580399729,66.81823204352581,66.91042316082817,37148100
2021-01-07,67.02570343017578,67.12558500896114,66.94119095347816,66.97960784710253,25868200
2021-01-08,67.12557220458984,67.133250892574,66.9488627338585,67.1102031054338,27403600
2021-01-11,66.76448822021484,66.9719242084655,66.75680366906627,66.85667938761732,26608000
2021-01-12,66.84898376464844,66.89507933667328,66.67995885176589,66.75678675900517,41746100
2021-01-13,67.04875946044922,67.079491806806,66.80290655119062,66.82596020715499,47710300
2021-01-14,67.03340911865234,67.13328486733622,67.01036131984813,67.04877236398954,25484800
2021-01-15,66.92581176757812,67.04873524701799,66.87971619548738,66.94885955362349,48134800
2021-01-19,67.11791229248047,67.13327553568215,66.95657186168076,67.11022774008161,24270500
2021-01-20,67.24080657958984,67.317640346971,67.12556765170508,67.317640346971,24534700
2021-01-21,67.20240783691406,67.27923575673995,67.13325860595457,67.20240783691406,20451400
2021-01-22,67.0718002319336,67.14094360175716,66.97960321057425,67.05643113090974,26615900
2021-01-25,67.08714294433594,67.10250617906442,66.8643379404197,67.07177970960745,28718200
2021-01-26,66.98729705810547,67.09485733382212,66.97961250652702,67.06412498910373,39103500
2021-01-27,66.79522705078125,67.01034761107432,66.695345460934,66.85668588115381,46378600
2021-01-28,66.99494171142578,67.21774670124185,66.94884614856467,66.96421524391333,38836200
2021-01-29,66.81826782226562,67.12558538821192,66.75680313675737,66.94119133168712,46095900
2021-02-01,67.03260803222656,67.06345314532977,66.82441087265967,66.94007269291696,35620700
2021-02-02,67.19454956054688,67.287084912384,67.15599169317193,67.20226231064278,29522300
2021-02-03,67.24854278564453,67.36421053173875,67.21769766114568,67.24083003374334,31911000
2021-02-04,67.38733673095703,67.44902697430328,67.3256464876108,67.3564916092839,21181100
2021-02-05,67.48758697509766,67.58783510321149,67.45674773286922,67.57240959899116,21653100
2021-02-08,67.68805694580078,67.68805694580078,67.51841174914794,67.54154411539982,16590100
2021-02-09,67.56468200683594,67.649504604713,67.52612414121752,67.58781437296525,14404300
2021-02-10,67.54925537109375,67.61094560180379,67.44901315851807,67.56468087032336,20469400
2021-02-11,67.58010864257812,67.6109537616558,67.50299878643641,67.58010864257812,17047200
2021-02-12,67.68805694580078,67.69576969558618,67.51070488246688,67.51070488246688,17800100
