Date,Close,High,Low,Open,Volume
2021-01-04,68.49267578125,69.49528199740539,67.82966109767868,68.84844186421435,9234900
2021-01-05,70.34426879882812,72.13926147242431,68.985896464927,69.12334930276145,13414800
2021-01-06,72.60822296142578,73.40060320494747,71.00728175520172,71.9613766587773,13916800
2021-01-07,72.94782257080078,73.43295426710687,72.2120346658556,73.08527542047707,9286600
2021-01-08,73.64315795898438,74.73470548726067,73.13376458868173,74.45171259752716,11152100
2021-01-11,74.0636215209961,74.46789893777968,71.61370136229297,72.05840898826845,10635000
2021-01-12,75.47049713134766,75.9394603651615,74.15255511437066,74.92068582536571,10923900
2021-01-13,75.39773559570312,75.61604267887361,74.33853077475011,75.35730538792389,9723300
2021-01-14,77.20890808105469,77.88001014948738,75.8343671757113,75.95565164824971,13950200
2021-01-15,74.45980834960938,76.2548009872781,74.15255974728493,76.18203401651056,10244600
2021-01-19,76.41649627685547,76.83694195075974,75.43005868684001,75.59985441103878,9574800
2021-01-20,77.11994934082031,77.26548944164047,76.24671490468255,76.81270075854806,8735400
2021-01-21,74.39513397216797,76.53780557272194,73.75637489615171,75.89095922089221,10393100
2021-01-22,74.16871643066406,74.41127911023992,72.63246145155543,73.0933373284098,7810600
2021-01-25,73.49764251708984,73.60275243457644,72.22821155575726,73.27124812940521,7689400
2021-01-26,72.25245666503906,75.12282864250047,72.17968352603351,74.54874931198138,7827800
2021-01-27,71.31452178955078,73.05291562141038,70.14211994671534,70.77279162320794,10178500
2021-01-28,71.97755432128906,72.89122530424898,71.35496976395928,71.69456134068461,8155500
2021-01-29,68.88886260986328,70.61916929083934,68.66246826562839,70.20681080760431,14699800
2021-02-01,69.86721801757812,70.58683124239906,68.37947408878239,69.52762033863341,8073600
2021-02-02,70.39277648925781,71.45198743554533,69.96424344702433,71.16090722406912,9233100
2021-02-03,71.92903137207031,72.27671016882502,70.25532325020079,70.38469497400874,9256500
2021-02-04,71.96135711669922,72.4869188237798,71.1123723461243,72.37372167687406,7917600
2021-02-05,72.1716079711914,73.14995860395052,71.67030174111663,72.72142551847911,8017300
2021-02-08,73.96659851074219,74.41938724121353,72.77802192447113,73.0044162897068,9886600
2021-02-09,73.546142578125,73.79679258771915,72.61630334067289,73.65933975463741,7605500
2021-02-10,74.80748748779297,74.86408607712187,73.25506375010009,73.88573550798885,8778800
2021-02-11,74.40321350097656,74.74281122131491,72.83462130955563,74.68621262938916,8572400
2021-02-12,74.83174133300781,74.97728142844404,73.86147197383862,74.00701206927485,7858300
2021-02-16,76.36510467529297,76.96369572446756,75.9387157646339,76.29951071240933,14006000
