Date,TLT,Returns,Fast_MA,Slow_MA,MA_Signal,RSI,RSI_Signal,VIX,VIX_MA10,VIX_Absolute,VIX_Spike,VIX_Signal,Realized_Vol,Vol_Percentile,Vol_Signal,Combined_Signal,Position,Trade_Signal,Days_Since_Exit,Peak_Value,Portfolio_Value,Portfolio_Returns_Unlevered,Portfolio_Returns,Portfolio_Value_Levered,BuyHold_Value,BuyHold_Returns
2016-12-09,92.2906265258789,-0.012439375078373227,94.61086959838867,99.89540466308594,0,35.40262251793496,1,11.75,12.810999965667724,1,1,1,0.12648141887922257,0.5555555555555556,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1000000.0,0.0
2016-12-12,92.46344757080078,0.001872574186864151,94.45089950561524,99.59685974121093,0,34.91711873652875,1,12.640000343322754,12.760000038146973,1,1,1,0.1264670696591447,0.5555555555555556,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1001872.5741868642,0.001872574186864151
2016-12-13,92.7933120727539,0.003567512467026912,94.33603248596191,99.31200088500977,0,37.54329975909306,1,12.720000267028809,12.742000102996826,1,1,1,0.12669065053344616,0.5634920634920635,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1005446.7670856481,0.003567512467026912
2016-12-14,91.75654602050781,-0.011172853184001297,94.14581146240235,99.03144256591797,0,34.8336823858384,1,13.1899995803833,12.728000068664551,1,1,1,0.12922817075428036,0.5753968253968254,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,994213.0579726715,-0.011172853184001297
2016-12-15,92.21991729736328,0.005050007840878168,93.93564491271972,98.77000885009765,0,37.02525951391797,1,12.789999961853027,12.600000095367431,1,1,1,0.12544818615293257,0.5515873015873016,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,999233.841710937,0.005050007840878168
2016-12-16,92.00782775878906,-0.002299823560786063,93.7858169555664,98.5160693359375,0,31.33279770271494,1,12.199999809265137,12.408000087738037,1,1,1,0.11643288940804904,0.4603174603174603,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,996935.7801790354,-0.002299823560786063
2016-12-19,92.99751281738281,0.010756531076772546,93.69918899536133,98.28051483154297,0,35.51447800044893,1,11.710000038146973,12.36500005722046,1,1,1,0.12420707510426211,0.5555555555555556,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1007659.3508800776,0.010756531076772546
2016-12-20,92.53414154052734,-0.004982620102597646,93.57763481140137,98.04805526733398,0,40.011109218166595,1,11.449999809265137,12.33100004196167,1,1,1,0.12434265589718053,0.5595238095238095,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1002638.5671418121,-0.004982620102597535
2016-12-21,92.94256591796875,0.004413769562692016,93.4780704498291,97.82845855712891,0,48.03926143403083,1,11.270000457763672,12.236000061035156,1,1,1,0.12594641374661156,0.5714285714285714,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1007063.9827318437,0.004413769562692016
2016-12-22,92.77639770507812,-0.0017878591068518634,93.38861885070801,97.60350357055664,0,42.23635680640292,1,11.430000305175781,12.11500005722046,1,1,1,0.1255363821876951,0.5674603174603174,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1005263.4942191341,-0.0017878591068518634
2016-12-23,92.96541595458984,0.0020373527555206383,93.30156288146972,97.37450515747071,0,44.24536703918204,1,11.4399995803833,12.08400001525879,1,1,1,0.12569042139774322,0.5753968253968254,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1007311.5705691056,0.0020373527555204163
2016-12-27,92.66610717773438,-0.003219571211316552,93.16466102600097,97.16878158569335,0,42.95028222316437,1,11.989999771118164,12.01899995803833,1,1,1,0.12202301204912029,0.5357142857142857,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1004068.4592356753,-0.003219571211316441
2016-12-28,93.34337615966797,0.007308702205808482,93.04163398742676,96.96345993041992,0,42.03050179866113,1,12.949999809265137,12.041999912261963,1,1,1,0.12440571764178959,0.5674603174603174,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1011406.8965984737,0.00730870220580826
2016-12-29,93.67417907714844,0.0035439356394675325,93.01274871826172,96.75802612304688,0,51.60150256249254,1,13.369999885559082,12.059999942779541,1,1,1,0.11211421509656981,0.34523809523809523,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1014991.2575453324,0.0035439356394677546
2016-12-30,93.81591796875,0.0015131052441337278,93.04070777893067,96.55370513916016,0,62.96862330451028,1,14.039999961853027,12.184999942779541,1,1,1,0.10543043283903449,0.19047619047619047,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1016527.0461398741,0.0015131052441337278
2017-01-03,94.21754455566406,0.004281006844146118,93.05458145141601,96.35522659301758,0,64.35547618898956,1,12.850000381469727,12.25,1,1,1,0.10327744966379371,0.15079365079365079,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1020878.8053816584,0.004281006844145896
2017-01-04,94.57978057861328,0.003844676961786142,93.09167213439942,96.16086318969727,0,64.54334507619612,1,11.850000381469727,12.264000034332275,1,1,1,0.10396420378072091,0.17063492063492064,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1024803.7546054851,0.003844676961786364
2017-01-05,96.060302734375,0.015653685668377326,93.20632438659668,96.005185546875,0,82.67534916913039,0,11.670000076293945,12.286000061035157,1,1,1,0.11701370730867432,0.49206349206349204,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1040845.7104518523,0.015653685668377326
2017-01-06,95.17829895019531,-0.009181771856565879,93.23681716918945,95.82639099121094,0,71.11843087021262,1,11.319999694824219,12.29099998474121,1,1,1,0.11922326551867714,0.5238095238095238,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1031288.9026005983,-0.009181771856565768
2017-01-09,95.94216918945312,0.008025676521677738,93.36126937866212,95.67695663452149,0,76.03439467036085,0,11.5600004196167,12.303999996185302,1,1,1,0.11304904164762694,0.376984126984127,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1039565.6937332667,0.008025676521677738
2017-01-10,95.87915802001953,-0.0006567619844947137,93.54069595336914,95.54879379272461,0,71.73392410161982,1,11.489999771118164,12.309000015258789,1,1,1,0.10110810493835685,0.13095238095238096,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1038882.9465052378,-0.0006567619844947137
2017-01-11,96.20201873779297,0.0033673712247872523,93.72762451171874,95.43162643432618,0,78.26287348267152,0,11.260000228881836,12.236000061035156,1,1,1,0.10123630976036614,0.1349206349206349,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1042381.2510452215,0.00336737122478703
2017-01-12,95.98942565917969,-0.002209860888602755,93.88743019104004,95.29768844604492,0,74.20821007710586,1,11.539999961853027,12.095000076293946,1,1,1,0.1021254341559433,0.14682539682539683,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1040077.733487524,-0.002209860888602644
2017-01-13,95.53264617919922,-0.004758643744804836,94.07623519897462,95.1544596862793,0,70.93255428301916,1,11.229999542236328,11.88100004196167,1,1,1,0.09356984813601642,0.07142857142857142,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1035128.3740869525,-0.004758643744805058
2017-01-17,96.53277587890625,0.010468983532927467,94.29187812805176,95.02229705810547,0,74.12088790759819,1,11.869999885559082,11.664000034332275,1,1,1,0.0977687105386677,0.10317460317460317,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1045965.115989735,0.01046898353292769
2017-01-18,95.29641723632812,-0.01280765658421601,94.45630760192871,94.88124130249024,0,65.78476026174242,1,12.479999542236328,11.626999950408935,1,1,1,0.11060612434972734,0.35714285714285715,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1032568.7539850688,-0.01280765658421601
2017-01-19,94.64277648925781,-0.006859027506242232,94.53857078552247,94.70877029418945,0,57.820011405283346,1,12.779999732971191,11.719999885559082,1,1,1,0.10931291239912957,0.31746031746031744,1,0,0,0,0,1000000.0,1000000.0,0.0,0.0,1000000.0,1025486.3364993989,-0.006859027506242232
2017-01-20,94.45378875732422,-0.0019968532089191804,94.63455314636231,94.55007720947266,1,54.77330034819378,1,11.539999961853027,11.70699987411499,1,1,1,0.10768356157269193,0.2896825396825397,1,1,1,1,0,1000000.0,999500.0,-0.0004999999999999449,-0.0004999999999999449,999500.0,1023438.5908176573,-0.0019968532089191804
2017-01-23,95.39875793457031,0.01000456614476275,94.75736274719239,94.41859313964844,1,58.823369301721065,1,11.770000457763672,11.751999950408935,1,1,1,0.11175236909707277,0.38492063492063494,1,1,1,0,0,1010004.5661447628,1010004.5661447628,0.010509821055290525,0.010509821055290525,1010004.566144763,1033677.6498945954,0.01000456614476275
2017-01-24,94.74515533447266,-0.006851269494996259,94.85580062866211,94.36057571411133,1,52.86074416164953,1,11.069999694824219,11.702999877929688,1,1,1,0.11502264537423657,0.47619047619047616,1,1,1,0,0,1010004.5661447628,1003084.7526709281,-0.00685126949499637,-0.00685126949499637,1003084.7526709284,1026595.6457442131,-0.006851269494996259
2017-01-25,93.55599975585938,-0.012551096406093643,94.88532981872558,94.30762145996094,1,44.90579503824763,1,10.8100004196167,11.63499994277954,1,1,1,0.12465759355574983,0.6388888888888888,1,1,1,0,0,1010004.5661447628,990494.9392366728,-0.012551096406093531,-0.012551096406093531,990494.939236673,1013710.7448244016,-0.012551096406093643
