Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02,9.376423820720266,9.393257197808843,9.292254527183765,9.309088706970215,54100,0.0,0.0,0.0
2020-01-03,9.216502276656946,9.309088659615693,9.216502276656946,9.267004013061523,52000,0.0,0.0,0.0
2020-01-06,9.258585929870605,9.309087660856923,9.224918376778987,9.258585929870605,69700,0.0,0.0,0.0
2020-01-07,9.267003997572322,9.267003997572322,9.191251794441005,9.199668884277344,85400,0.0,0.0,0.0
2020-01-08,9.174417511128091,9.1912516906106,9.081831932067871,9.081831932067871,510100,0.0,0.0,0.0
2020-01-09,9.048164399392032,9.132333691628311,9.006079753273893,9.022913932800293,191100,0.0,0.0,0.0
2020-01-10,9.006078755395373,9.166000232385345,9.006078755395373,9.107081413269043,176300,0.0,0.0,0.0
2020-01-13,9.174417543479416,9.241752656251174,9.12391661024953,9.21650218963623,78100,0.0,0.0,0.0
2020-01-14,9.140749000938046,9.208084106445312,9.140749000938046,9.208084106445312,61100,0.0,0.0,0.0
2020-01-15,9.174416611828937,9.233335431544488,9.140749058861955,9.157583236694336,46400,0.0,0.0,0.0
2020-01-16,9.22491833632048,9.250168800354004,9.20808415849961,9.250168800354004,71300,0.0,0.0,0.0
2020-01-17,9.317503947106491,9.342755213948541,9.250168840923255,9.258585929870605,112700,0.0,0.0,0.0
2020-01-21,9.224917343851027,9.258584893172838,9.191249794529215,9.241750717163086,206600,0.0,0.0,0.0
2020-01-22,9.317504931194621,9.317504931194621,9.174417614768327,9.199668884277344,45700,0.0,0.0,0.0
2020-01-23,9.149166078194474,9.174416542053223,9.090248061624802,9.174416542053223,80700,0.0,0.0,0.0
2020-01-24,9.21650127169218,9.258585913657454,9.056580595461485,9.098665237426758,99400,0.0,0.0,0.0
2020-01-27,8.837739944458008,8.913492129556419,8.736737298559351,8.837739944458008,218700,0.0,0.0,0.0
2020-01-28,8.795656163358222,8.86299126717224,8.778822788753596,8.787239074707031,65800,0.0,0.0,0.0
2020-01-29,8.753572512581167,8.837741803214731,8.753572512581167,8.79565715789795,58600,0.0,0.0,0.0
2020-01-30,8.686237415005584,8.71990497077313,8.61890230347049,8.703071594238281,127100,0.0,0.0,0.0
2020-01-31,8.703069476970168,8.703069476970168,8.509480476379395,8.509480476379395,100900,0.0,0.0,0.0
2020-02-03,8.711487672514519,8.753571510314941,8.618901302878982,8.753571510314941,87700,0.0,0.0,0.0
2020-02-04,8.81249043026815,8.93874355052877,8.81249043026815,8.930326461791992,196500,0.0,0.0,0.0
2020-02-05,8.972411237008485,9.022912967486914,8.921910309227831,8.989245414733887,61000,0.0,0.0,0.0
2020-02-06,8.997660652463964,9.056579464939693,8.972410191515896,9.031328201293945,60600,0.0,0.0,0.0
2020-02-07,9.08183086056531,9.132332590356624,8.938743562637306,8.963994026184082,41100,0.0,0.0,0.0
2020-02-10,8.921910257082448,8.972411184567942,8.871408526899184,8.947160720825195,99800,0.0,0.0,0.0
2020-02-11,8.938743729866838,9.140749047415769,8.938743729866838,9.123915672302246,95700,0.0,0.0,0.0
2020-02-12,9.166001342950237,9.275421102911931,9.149167163249421,9.267004013061523,90100,0.0,0.0,0.0
2020-02-13,9.258586827720787,9.258586827720787,9.157584158651213,9.18283462524414,59100,0.0,0.0,0.0
2020-02-14,9.20808513166288,9.216502221462882,9.166001288058604,9.191251754760742,46700,0.0,0.0,0.0
2020-02-18,9.16600131208355,9.16600131208355,9.107082486026975,9.132333755493164,48500,0.0,0.0,0.0
2020-02-19,9.132332761207897,9.157583225227068,9.107081494490947,9.123915672302246,65100,0.0,0.0,0.0
2020-02-20,9.048162377057777,9.11549747471774,9.006077740345878,9.031328201293945,96900,0.0,0.0,0.0
2020-02-21,9.048162387656985,9.048162387656985,8.938742653156947,8.972410202026367,37200,0.0,0.0,0.0
2020-02-24,8.753572437083431,8.80407417156757,8.652569770812988,8.652569770812988,104400,0.0,0.0,0.0
2020-02-25,8.686236358863873,8.703070536049736,8.50948151190105,8.526315689086914,117800,0.0,0.0,0.0
