final_value,total_return,autocalled,autocall_date,coupons_received,days_held,basket_return,start_date,window_idx
126000.0,0.26,True,2021-04-05,1000.0,315,1.227081757026071,2020-01-02,0
120500.0,0.205,True,2021-07-02,500.0,252,1.0914353541558746,2020-07-02,1
120500.0,0.205,True,2021-12-31,500.0,252,1.08505240745492,2020-12-31,2
153500.0,0.535,True,2024-01-04,3500.0,630,1.1202061576873046,2021-07-02,3
148000.0,0.48,True,2024-04-05,3000.0,567,1.6050750217088983,2021-12-31,4
120500.0,0.205,True,2023-07-06,500.0,252,1.3925888962070756,2022-07-05,5
