date,Strategy,CVX_BuyHold,HYG_BuyHold,Equal_Weight
2021-07-26,93648.8377307983,96465.32456556564,102588.44823103538,99526.8863983005
2021-07-27,93433.05169033924,96140.4155666114,102448.28057984295,99294.34807322717
2021-07-28,93888.97094947807,96685.10432204243,102530.04030828475,99607.57231516359
2021-07-29,93917.0144789265,98013.34804972915,102751.97905132806,100382.66355052861
2021-07-30,93680.2232686489,97287.11394274273,102611.77730990834,99949.44562632553
2021-08-02,93464.70320249305,97115.08986270924,102357.49830457936,99736.2940836443
2021-08-03,93778.08031843214,98042.00848236377,102474.6550523535,100258.33176735864
2021-08-04,93146.45324513983,95844.20213413503,102287.19289250579,99065.69751332041
2021-08-05,93543.1241603209,96732.87756540735,102521.54047828134,99627.20902184435
2021-08-06,93650.12610120047,97420.85970055073,102404.33827687083,99912.59898871079
2021-08-09,93122.14651648422,95796.41132384849,102169.95660086798,98983.18396235823
2021-08-10,93401.48477520164,97545.10175375848,101935.56356145605,99740.33265760727
2021-08-11,93710.65114872136,98280.89226611005,102099.63982538531,100190.26604574767
2021-08-12,93802.8812963552,98080.21653690274,102275.44312750109,100177.82983220191
2021-08-13,93819.06624642685,97430.45123975915,102498.12049213561,99964.28586594737
2021-08-16,93623.73572684718,96436.64656600938,102533.27887987695,99484.96272294316
2021-08-17,93437.67779478947,96255.08364753236,102298.87447705591,99276.97906229414
2021-08-18,92670.60023727686,93649.92673715335,102064.51552787126,97857.2211325123
2021-08-19,92120.66610044432,91315.94161247124,102052.79985309385,96684.37073278255
2021-08-20,92308.47294484527,91325.63855320941,102298.87447705591,96812.25651513267
2021-08-23,93105.55216092605,93678.99999244622,102615.29996672794,98147.14997958708
2021-08-24,93475.52399478544,94753.96384411324,102755.93351769328,98754.94868090327
2021-08-25,93719.01306773207,95402.84201171467,102861.44277114458,99132.14239142963
2021-08-26,93394.96250467883,94153.51767943776,102802.83030703022,98478.173993234
2021-08-27,93391.3909108036,95528.752922477,103084.07468214272,99306.41380230986
2021-08-30,93446.44902641773,95286.62804169052,103213.03801196703,99249.83302682877
2021-08-31,93078.86760331916,93717.69992079075,103236.4011810673,98477.05055092902
2021-09-01,92897.39078383861,92691.15928858885,103324.6266892844,98007.89298893663
2021-09-02,93479.08883850058,94628.08806719417,103453.93092138157,99041.00949428786
2021-09-03,93455.53196761994,94415.01887477894,103465.65795956808,98940.33841717351
2021-09-07,93190.2344610298,93998.56864722582,103195.26564014175,98596.9171436838
2021-09-08,93131.28625335163,93349.6992630852,103312.89965109789,98331.29945709155
2021-09-09,93121.9974761847,92972.0104481023,103406.88640772639,98189.44842791435
2021-09-10,93053.34949724187,93039.7836317397,103254.09400902891,98146.9388203843
2021-09-13,93696.88457833606,94879.88353833638,103512.71383663236,99196.29868748438
2021-09-14,93263.52707833193,93165.70332596284,103465.65795956808,98315.68064276545
2021-09-15,93867.34304714612,95141.36716675594,103618.49581190194,99379.93148932894
2021-09-16,93642.2861749297,94250.37290182884,103583.24651688784,98916.80970935835
2021-09-17,93438.11312628991,93708.02933043502,103453.93092138157,98580.9801259083
2021-09-20,92737.66624199747,91790.49443330604,103089.46093805396,97439.97768568
2021-09-21,92889.56832957675,91858.28518386507,103265.82104721542,97562.05311554024
2021-09-22,93692.93066952314,94560.2709662527,103453.93092138157,99007.10094381715
