Date,USDJPY,VIX,Position,Daily_Return_%,Cumulative_Return,Drawdown_%,GOOGL_Price,NVDA_Price,IBM_Price
2021-06-21,110.20099639892578,17.889999389648438,1,0.7622659796294744,1.5561525528695879,0.0,120.97810363769531,18.387147903442383,116.80149841308594
2021-06-22,110.3740005493164,16.65999984741211,1,1.0916393687282224,1.5731401267741816,0.0,121.4925537109375,18.845653533935547,116.57052612304688
2021-06-23,110.65399932861328,16.31999969482422,1,0.21568229507494732,1.5765331115043528,0.0,121.29045104980469,19.015779495239258,115.17671203613281
2021-06-24,111.01200103759766,15.970000267028809,1,0.8379056168396395,1.5897429709969844,0.0,121.66089630126953,19.163707733154297,115.8377914428711
2021-06-25,110.9209976196289,15.619999885559082,1,-0.1450757957102941,1.587436638732062,-0.14507579571029655,121.6693344116211,18.989587783813477,116.95283508300781
2021-06-28,110.8219985961914,15.760000228881836,1,1.2282144904821393,1.6069337655561917,0.0,121.69664764404297,19.941513061523438,115.71831512451172
2021-06-29,110.60299682617188,16.020000457763672,1,-0.19317675566581566,1.6038295430421918,-0.19317675566581022,121.4349594116211,19.983173370361328,115.9253921508789
2021-06-30,110.53500366210938,15.829999923706055,1,-0.01624428177261687,1.6035690124520676,-0.20938965726191508,121.2531967163086,19.95897674560547,116.75370025634766
2021-07-01,111.1240005493164,15.479999542236328,1,1.040065801260545,1.620247185350193,0.0,121.60578155517578,20.168020248413086,116.95283508300781
2021-07-02,111.5719985961914,15.069999694824219,1,1.0445992828076425,1.6371722758280722,0.0,124.3995132446289,20.442424774169922,111.52092742919922
2021-07-06,110.91600036621094,16.440000534057617,1,-0.06964962092185088,1.6360319915441204,-0.06964962092184858,125.32562255859375,20.653457641601562,110.53334045410156
2021-07-07,110.60199737548828,16.200000762939453,1,-0.4807859521778743,1.6281661795556404,-0.5501007075065844,125.607666015625,20.327423095703125,111.36165618896484
2021-07-08,110.63500213623047,19.0,1,-1.0810629047339744,1.61056467896104,-1.6252166775530281,124.18746185302734,19.85944366455078,112.09441375732422
2021-07-09,109.8010025024414,16.18000030517578,1,-0.21744229331768752,1.6070626301877424,-1.8391250624556617,124.6587142944336,20.006616592407227,112.71563720703125
2021-07-12,110.21499633789062,16.170000076293945,1,1.577782137676386,1.632418577308117,-0.2903603115042261,126.10574340820312,20.467866897583008,112.23776245117188
2021-07-13,110.32499694824219,17.1200008392334,1,-0.21733413049287967,1.6288707745871203,-0.5070633899387966,126.46922302246094,20.205936431884766,111.72801208496094
2021-07-14,110.59500122070312,16.329999923706055,1,-0.060919478945221366,1.6278784749985509,-0.5676739685089407,127.35858917236328,19.798328399658203,111.36165618896484
2021-07-15,109.98400115966797,17.010000228881836,1,-2.252588531001961,1.5912090711720839,-2.8074751408027865,126.1350326538086,18.924978256225586,111.86341857910156
2021-07-16,109.77799987792969,18.450000762939453,1,-1.6820117596062987,1.5644447474750474,-4.442264838392753,126.10027313232422,18.121482849121094,110.62890625
2021-07-19,109.8740005493164,22.5,0,0.0,1.5644447474750474,-4.442264838392753,123.72466278076172,18.738887786865234,109.84838104248047
2021-07-20,109.53399658203125,19.729999542236328,1,0.388158277029165,1.5705172692519196,-4.071349580021377,125.3449935913086,18.57150650024414,111.48111724853516
2021-07-21,109.91999816894531,17.90999984741211,1,2.3728558252175893,1.6077833797614118,-1.7951010104783056,126.67530822753906,19.36776351928711,112.5404281616211
